,All,Recursive
0,group_33,group_2335
1,pilE_4,group_1644
2,group_2432,group_473
3,group_1451,group_33
4,group_31,group_887
5,rlmD,group_1606
6,group_1462,mafA1
7,group_887,group_310
8,group_2516,group_545
9,group_20,group_899
10,group_126,group_2779
11,group_412,group_1533
12,piiC_1,group_20
13,group_1644,group_1627
14,group_633,group_1607
15,group_473,group_1622
16,group_969,group_1680
17,group_2335,group_3388
18,group_3128,group_2490
19,group_1877,group_3524
20,group_2040,group_2576
21,group_1675,group_3591
22,group_2005,group_3804
23,group_2406,group_949
24,group_269,group_3615
25,group_1609,group_1446
26,group_949,group_3516
27,pilE_6,group_633
28,group_281,group_3687
29,group_984,group_478
30,group_2325,group_529
31,group_105,pilE_4
32,group_1919,dnaC_1
33,group_223,group_2651
34,group_2456,comEA
35,group_3202,group_3062
36,group_913,lagD_2
37,group_901,group_2532
38,group_1656,group_347
39,group_11,group_412
40,group_15,group_2410
41,group_1533,pilE_8
42,group_2110,group_243
43,pilE1_6,group_1656
44,group_1530,group_659
45,group_738,group_3125
46,group_899,group_1801
47,group_2268,group_996
48,group_1446,group_2005
49,group_955,group_224
50,mafA1,group_1136
51,group_484,group_59
52,group_1537,group_1612
53,group_454,group_1455
54,group_3515,piiC_1
55,pilE1_2,group_183
56,group_2505,group_1010
57,group_914,group_126
58,group_3815,group_2666
59,group_1329,group_914
60,group_1492,group_1659
61,group_3527,group_1530
62,group_3125,group_461
63,group_1912,group_1635
64,group_1403,group_34
65,group_98,group_2432
66,group_1472,group_1954
67,group_347,group_484
68,group_3687,group_636
69,group_1526,group_108
70,group_3316,group_1877
71,group_224,group_1135
72,group_1479,group_969
73,group_1909,group_1088
74,group_12,group_2380
75,fimA,group_1451
76,group_1607,group_1403
77,group_515,group_3527
78,group_829,group_632
79,group_1125,group_2833
80,group_95,aroG
81,group_2513,group_1462
82,group_387,group_276
83,group_1635,pilE1_2
84,group_3388,group_2523
85,group_2532,group_2082
86,group_8,group_3525
87,group_2445,group_2268
88,group_922,group_2307
89,group_529,group_153
90,group_1758,group_955
91,group_59,group_3078
92,group_545,group_3608
93,group_512,group_2505
94,group_453,group_3519
95,group_1488,ptlG
96,group_1911,group_185
97,group_243,group_1537
98,group_276,group_1977
99,group_1127,group_8
100,group_3228,pilE1_6
101,group_176,group_1758
102,group_132,group_1945
103,group_364,group_2406
104,group_2547,group_2516
105,group_590,group_2110
106,group_2410,group_3228
107,group_1801,group_11
108,group_121,group_355
109,group_1905,group_3128
110,group_388,group_3517
111,group_2446,group_223
112,group_3530,rlmD
113,group_2569,group_1503
114,group_2570,group_95
115,group_195,group_453
116,group_3598,group_2383
117,group_3597,group_2456
118,group_3596,fimA
119,group_1623,group_2306
