,All
0,group_33
1,pilE_4
2,group_2432
3,group_1451
4,group_31
5,rlmD
6,group_1462
7,group_887
8,group_2516
9,group_20
10,group_126
11,group_412
12,piiC_1
13,group_1644
14,group_633
15,group_473
16,group_969
17,group_2335
18,group_3128
19,group_1877
20,group_2040
21,group_1675
22,group_2005
23,group_2406
24,group_269
25,group_1609
26,group_949
27,pilE_6
28,group_281
29,group_984
30,group_2325
31,group_105
32,group_1919
33,group_223
34,group_2456
35,group_3202
36,group_913
37,group_901
38,group_1656
39,group_11
40,group_15
41,group_1533
42,group_2110
43,pilE1_6
44,group_1530
45,group_738
46,group_899
47,group_2268
48,group_1446
49,group_955
50,mafA1
51,group_484
52,group_1537
53,group_454
54,group_3515
55,pilE1_2
56,group_2505
57,group_914
58,group_3815
59,group_1329
60,group_1492
61,group_3527
62,group_3125
63,group_1912
64,group_1403
65,group_98
66,group_1472
67,group_347
68,group_3687
69,group_1526
70,group_3316
71,group_224
72,group_1479
73,group_1909
74,group_12
75,fimA
76,group_1607
77,group_515
78,group_829
79,group_1125
80,group_95
81,group_2513
82,group_387
83,group_1635
84,group_3388
85,group_2532
86,group_8
87,group_2445
88,group_922
89,group_529
90,group_1758
91,group_59
92,group_545
93,group_512
94,group_453
95,group_1488
96,group_1911
97,group_243
98,group_276
99,group_1127
100,group_3228
101,group_176
102,group_132
103,group_364
104,group_2547
105,group_590
106,group_2410
107,group_1801
108,group_121
109,group_1905
110,group_388
111,group_2446
112,group_3530
113,group_2569
114,group_2570
115,group_195
116,group_3598
117,group_3597
118,group_3596
119,group_1623
120,group_925
121,group_1010
122,group_2510
123,group_344
124,group_3608
125,group_2447
126,pilE_8
127,group_244
128,group_2490
129,group_1485
130,group_975
131,group_630
132,gspA
133,group_1923
134,group_1448
135,group_3816
136,group_1503
137,group_42
138,group_2779
139,group_27
140,group_623
141,group_65
142,group_1907
143,group_2887
144,group_478
145,group_2380
146,pilE_2
147,group_1627
148,group_1025
149,group_1606
150,group_2413
151,group_2565
152,group_2099
153,group_3390
154,rusA
155,group_2383
156,group_3183
157,group_357
158,group_3093
159,group_182
160,group_2696
161,group_90
162,group_2249
163,group_514
164,group_2673
165,group_2666
166,group_227
167,group_1929
168,group_2833
169,hprA
170,group_910
171,group_2266
172,group_556
173,group_3062
174,group_475
175,group_606
176,group_1474
177,group_74
178,group_659
179,group_38
180,group_959
181,group_1977
182,group_2702
183,group_2701
184,group_3561
185,group_3547
186,group_1383
187,rocG
188,adhA
189,group_226
190,group_1945
191,group_2851
192,group_3103
193,group_3102
194,group_2520
195,group_2836
196,group_764
197,group_2566
198,group_3591
199,group_1622
200,group_3607
201,group_3606
202,group_3605
203,group_2401
204,group_257
205,group_230
206,group_960
207,tufA
208,group_1567
209,group_10
210,group_968
211,group_1853
212,group_557
213,group_1918
214,comEA
215,group_979
216,group_2800
217,group_1576
218,group_996
219,group_1573
220,group_636
221,group_3299
222,group_3298
223,group_3297
224,group_185
225,group_1954
226,group_3727
227,group_3306
228,group_987
229,group_2708
230,group_1598
231,group_1612
232,group_1136
233,group_1135
234,cas1
235,cdiA_1
236,group_2384
237,group_638
238,group_461
239,mafA1_2
240,mshD
241,group_2850
242,group_2847
243,nosD_2
244,group_3837
245,group_3836
246,group_1608
247,group_3516
248,group_3432
249,group_3431
250,group_3551
251,group_3550
252,group_3549
253,group_3548
254,group_79
255,group_479
256,group_2837
257,group_1610
258,mbeA
259,group_1523
260,group_2334
261,group_1557
262,group_2523
263,group_142
264,group_2260
265,group_1885
266,group_346
267,group_3526
268,group_3525
269,group_3524
270,group_3523
271,group_3522
272,group_3242
273,group_2082
274,group_2287
275,group_1667
276,group_3159
277,cycA
278,group_632
279,group_2411
280,mepH_2
281,group_612
282,tbpB_2
283,group_3615
284,group_53
285,group_2011
286,nagZ
287,group_141
288,group_2439
289,group_1561
290,group_2316
291,group_2418
292,group_354
293,group_650
294,group_2961
295,group_2643
296,group_2642
297,group_2641
298,group_2672
299,group_974
300,group_3614
301,group_254
302,group_2517
303,group_2514
304,group_183
305,group_992
306,group_3806
307,group_3805
308,group_3804
309,group_2651
310,group_1670
311,group_660
312,group_490
313,group_622
314,group_3095
315,group_1916
316,group_1680
317,group_1504
318,group_1501
319,group_2332
320,group_474
321,group_625
322,group_2587
323,group_1352
324,group_3080
325,group_3078
326,aroG
327,aidA-I
328,group_1705
329,group_3305
330,group_3304
331,group_467
332,group_4109
333,group_983
334,group_3783
335,group_2101
336,group_3463
337,group_1494
338,group_3326
339,group_3325
340,group_3324
341,group_112
342,group_3065
343,group_3061
344,group_1482
345,group_912
346,group_2625
347,group_3540
348,group_3216
349,group_3008
350,group_2558
351,group_144
352,group_108
353,dnaC_1
354,group_222
355,group_333
356,group_2449
357,group_2307
358,group_2306
359,group_1455
360,group_360
361,group_44
362,group_2568
363,group_1553
364,group_3628
365,group_3627
366,group_3626
367,group_990
368,group_81
369,group_349
370,group_1487
371,group_3019
372,group_997
373,group_356
374,group_97
375,group_1086
376,group_1278
377,group_76
378,group_1438
379,group_311
380,group_3258
381,group_3257
382,group_1946
383,group_3393
384,group_641
385,group_800
386,group_2269
387,group_1602
388,group_651
389,group_618
390,group_1616
391,rplP
392,group_120
393,vapD_2
394,group_2387
395,group_1953
396,group_321
397,group_2142
398,speE_1
399,group_96
400,lagD_2
401,group_34
402,group_2744
403,group_2454
404,copA_1
405,group_1663
406,group_1500
407,group_2964
408,group_146
409,group_2511
410,group_1886
411,group_919
412,group_2265
413,group_451
414,group_1441
415,group_2486
416,group_70
417,group_192
418,group_1641
419,group_3430
420,group_3555
421,group_3554
422,group_3553
423,group_3552
424,group_3576
425,group_2557
426,group_241
427,bla
428,tbpB_1
429,group_102
430,group_1611
431,group_3162
432,group_3151
433,group_605
434,group_1088
435,group_607
436,group_655
437,group_926
438,group_1497
439,group_3765
440,group_270
441,group_1775
442,group_93
443,group_3055
444,group_111
445,group_1683
446,group_924
447,group_2576
448,group_2631
449,group_103
450,group_3521
451,group_3520
452,group_3519
453,group_3518
454,group_3517
455,group_1651
456,group_1601
457,group_3505
458,group_3504
459,group_3503
460,group_481
461,group_361
462,group_1710
463,group_459
464,group_918
465,group_916
466,group_1633
467,group_3348
468,group_3347
469,group_3346
470,group_3345
471,group_2832
472,group_455
473,group_2747
474,group_2131
475,group_2061
476,group_1969
477,group_1968
478,group_1762
479,group_1000
480,group_613
481,group_978
482,group_1615
483,group_435
484,group_2963
485,group_2962
486,group_40
487,porB
488,group_472
489,group_2414
490,group_1548
491,group_3888
492,group_952
493,group_1259
494,group_489
495,group_1737
496,pilE1_4
497,group_1659
498,group_2518
499,group_242
500,group_938
501,group_343
502,group_3378
503,group_3377
504,group_3374
505,group_279
506,pilE_5
507,group_1676
508,group_3029
509,group_644
510,group_1473
511,cdiI4
512,group_2674
513,pilY1_2
514,ygaZ
515,group_2317
516,group_1859
517,group_1858
518,pilE_16
519,group_937
520,group_3795
521,group_3794
522,group_3793
523,group_3792
524,group_2849
525,group_3301
526,group_1655
527,group_1432
528,group_153
529,group_995
530,socA
531,group_1994
532,group_1335
533,group_516
534,group_181
535,group_487
536,group_1593
537,group_485
538,group_3803
539,group_3802
540,group_3801
541,group_4044
542,group_2952
543,group_2951
544,group_2948
545,group_2946
546,group_2914
547,group_2913
548,group_1614
549,group_78
550,group_546
551,group_2985
552,group_3373
553,group_3372
554,group_3371
555,group_945
556,group_3502
557,group_3500
558,group_3499
559,group_1674
560,group_3575
561,group_3574
562,group_3573
563,group_3572
564,group_639
565,group_355
566,group_2312
567,group_2311
568,group_48
569,group_1052
570,group_1122
571,group_1496
572,lex1
573,group_2044
574,group_158
575,group_116
576,group_619
577,group_2795
578,group_2577
579,group_1982
580,group_1632
581,group_1405
582,group_1539
583,group_2104
584,group_980
585,group_940
586,group_2339
587,group_928
588,ggt_2
589,group_911
590,malP_3
591,group_3107
592,group_3106
593,group_3105
594,ptlG
595,group_3375
596,group_1847
597,group_2455
598,group_555
599,group_2519
600,group_2706
601,group_3391
602,group_2507
603,group_2539
604,group_3528
605,group_3536
606,group_3025
607,group_2852
608,group_2253
609,group_2283
610,group_2729
611,group_2784
612,group_2781
613,group_2780
614,group_2778
615,group_2301
616,group_1476
617,group_3009
618,group_3843
619,group_588
620,group_2997
621,group_634
622,group_2661
623,group_1764
624,group_434
625,group_2704
626,group_1689
627,group_2100
628,pilE1_5
629,group_3408
630,group_1677
631,group_2521
632,group_1531
633,group_1491
634,group_1752
635,group_3359
636,group_3358
637,group_3357
638,group_905
639,group_2357
640,group_3778
641,group_3777
642,group_3776
643,group_646
644,group_2896
645,group_1376
646,group_2799
647,group_1599
648,group_1915
649,group_1914
650,group_1541
651,group_3577
652,group_1771
653,group_3462
654,group_985
655,group_2755
656,group_1669
657,group_2525
658,group_3800
659,group_3799
660,group_3798
661,group_3797
662,group_3149
663,group_170
664,group_1468
665,group_1467
666,group_1528
667,group_3712
668,group_2444
669,group_1047
670,group_2593
671,group_1512
672,group_460
673,group_976
674,group_3058
675,group_1452
676,group_2571
677,group_2433
678,lagD_1
679,group_462
680,group_2341
681,group_1463
682,group_1876
683,group_2358
684,rnc
685,group_488
686,group_77
687,group_2783
688,group_133
689,group_2639
690,group_2636
691,group_2635
692,group_2634
693,group_2633
694,group_2632
695,group_1568
696,group_2533
697,group_900
698,group_2835
699,group_2834
700,group_1535
701,group_2360
702,group_2356
703,group_2290
704,group_1478
705,group_3318
706,group_3317
707,group_2391
708,group_273
709,group_3556
710,group_1003
711,group_946
712,group_3294
713,group_3293
714,group_1005
715,group_91
716,group_965
717,group_3123
718,group_3122
719,group_2785
720,group_581
721,group_3224
722,group_1330
723,group_2898
724,group_1507
725,group_2541
726,group_3392
727,group_1678
728,group_2553
729,group_2340
730,group_2721
731,traB
732,group_3660
733,group_3659
734,group_3657
735,group_3656
736,group_3655
737,group_3654
738,group_3653
739,group_3652
740,group_3651
741,group_3650
742,group_2683
743,group_2479
744,group_1009
745,group_1936
746,group_2452
747,group_1011
748,group_2598
749,group_3670
750,group_3669
751,group_3668
752,group_3667
753,group_3666
754,group_3665
755,group_1682
756,group_2581
757,group_75
758,group_2501
759,group_1525
760,group_3117
761,group_3116
762,group_3115
763,group_3113
764,group_3112
765,group_3111
766,group_3110
767,group_3109
768,group_3108
769,group_61
770,group_2461
771,group_4114
772,group_3284
773,ybcO
774,pilE_13
775,group_3041
776,group_3040
777,group_3039
778,group_3038
779,group_3037
780,group_3035
781,group_3835
782,group_3834
783,group_3833
784,group_2448
785,group_2464
786,group_3076
787,group_3074
788,group_1638
789,group_1126
790,group_2658
791,efeB_1
792,group_1529
793,group_1546
794,group_2491
795,group_2389
796,group_804
797,group_1466
798,group_1906
799,group_923
800,group_3376
801,group_1051
802,group_998
803,group_1581
804,group_1572
805,group_909
806,group_464
807,group_89
808,group_1469
809,group_3350
810,group_350
811,group_3084
812,group_3083
813,group_3082
814,group_3081
815,group_1145
816,group_2338
817,group_483
818,group_3809
819,group_3808
820,group_2758
821,group_2757
822,group_362
823,group_2998
824,group_2996
825,group_2995
826,group_2994
827,group_2991
828,group_2990
829,group_2640
830,group_3782
831,group_3781
832,group_3780
833,group_3154
834,glcA
835,group_2610
836,hpnE
837,dnaC_2
838,group_962
839,group_2315
840,group_1310
841,group_1460
842,group_2883
843,group_2608
844,group_642
845,group_3032
846,group_2535
847,group_2534
848,group_1538
849,group_2567
850,dapA
851,group_991
852,group_3428
853,group_3427
854,group_3426
855,group_1948
856,group_2615
857,group_1563
858,group_2554
859,piiC_2
860,group_2820
861,group_2365
862,group_609
863,group_951
864,group_486
865,group_3846
866,group_3845
867,group_3844
868,group_3249
869,group_1552
870,yigL
871,group_956
872,group_2737
873,group_657
874,group_1038
875,group_3308
876,group_1571
877,group_348
878,group_1640
879,parA
880,group_2911
881,group_2910
882,group_2909
883,group_2908
884,repE_2
885,pilE_7
886,group_3538
887,group_3537
888,group_2544
889,group_3613
890,group_3612
891,group_3611
892,group_3610
893,group_3609
894,group_1484
895,group_649
896,group_1208
897,pyrI
898,group_161
899,group_3140
900,group_653
901,group_3169
902,group_3168
903,group_3167
904,group_3166
905,group_3165
906,group_3164
907,group_3161
908,group_3160
909,group_3158
910,group_3157
911,group_3156
912,group_3155
913,group_3153
914,group_3152
915,group_1648
916,epsL_1
917,tnpR
918,group_989
919,group_3415
920,group_3414
921,group_1566
922,group_3303
923,group_1662
924,group_3315
925,group_3314
926,group_352
927,group_1483
928,group_1706
929,group_1024
930,group_1618
931,group_1449
932,group_3588
933,group_3587
934,group_3586
935,group_3585
936,group_3584
937,group_2831
938,group_2637
939,group_2013
940,group_2727
941,group_2724
942,group_2723
943,group_2720
944,group_1590
945,group_2802
946,group_2801
947,tetM
948,rsmD
949,group_225
950,group_3824
951,group_3823
952,group_3822
953,group_3821
954,group_3820
955,group_3819
956,group_3818
957,group_3817
958,group_2443
959,group_2442
960,group_3671
961,traM
962,traL
963,ssbB
964,group_2478
965,group_2473
966,group_2463
967,group_1511
968,group_3842
969,group_3841
970,group_3840
971,group_3839
972,group_3838
973,group_1594
974,group_966
975,group_3642
976,group_3639
977,group_2591
978,group_2590
979,group_2589
980,group_2586
981,group_2582
982,yhdE
983,group_3535
984,group_246
985,group_2177
986,mobA_2
987,group_363
988,group_2684
989,group_1580
990,group_1578
991,group_2542
992,epsE
993,group_3086
994,group_3085
995,group_2549
996,group_3237
997,group_964
998,group_645
999,pilY1_1
